id,submission_time,vote_number,question_id,message,image
3,2023-04-05 21:47:50,0,None,None,
4,2023-04-05 21:47:57,0,None,None,
7,2023-04-05 21:51:59,0,2,None,
8,2023-04-05 21:53:12,0,2,aaaaa,
9,2023-04-05 23:56:47,0,8,It's so obvious, it's Michael Jordan!,
9,2023-04-06 18:26:43,0,8,Testing goat answer,
10,2023-04-06 18:46:00,0,6,sasdadas,
11,2023-04-08 00:43:12,0,8,Jordan!,
12,2023-04-08 00:43:40,0,8,Jordan!!!!!!,
13,2023-04-09 21:43:03,0,1,sadsdsadsa,
14,2023-04-09 21:47:48,0,1,resting answer,
16,2023-04-10 10:12:17,0,7,testing new answer,
